,id,ts,y,sku,customer,price,item_type,material,ph_level2,ph_level3,sku_description,cases,uom,month,year,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,y_sum_sku,y_mean_sku,y_max_sku,y_min_sku,y_std_sku,sku_percent,y_sum_sku_month,y_mean_sku_month,y_max_sku_month,y_min_sku_month,y_std_sku_month,sku_month_percent,events,type,impact,festival,promotion_specific_date,main_promo,medium_promo,small_promo,last_event,next_event,weeks_since_last_event,weeks_to_next_event,days_since_last_event,days_to_next_event,average_train_demand,lag_demand,dummy_spike,dummy_event_spike,dummy_spike_before_event,dummy_expect_a_spike
10,0,2021-05-01,102.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,5,2021,2,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,2281.0,1140.5,2179.0,102.0,1468.6607845244591,0.0012966378935460859,mothers day,promotion_specific_date,small_promo,0.0,1.0,0.0,0.0,1.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,1140.5,0.0,1,0,1
11,0,2021-06-01,1254.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,6,2021,2,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,3430.0,1715.0,2176.0,1254.0,651.9524522539969,0.001949788678151282,618,promotion_specific_date,medium_promo,0.0,1.0,0.0,1.0,0.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,1715.0,0.0,1,0,1
12,0,2021-07-01,94.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,7,2021,3,True,False,True,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,318.0,106.0,175.0,49.0,63.85138996137829,0.0001807675800735008,no_events,no_events,,0.0,0.0,0.0,0.0,0.0,618,9.9,4,8,30,62,891.8636363636364,49.0,0.0,0,1,1
13,0,2021-08-01,134.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,8,2021,3,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,1635.0,817.5,1501.0,134.0,966.6149698820104,0.0009294182183024332,no_events,no_events,,0.0,0.0,0.0,0.0,0.0,618,9.9,8,4,61,31,891.8636363636364,1501.0,0.0,0,1,1
14,0,2021-09-01,705.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,9,2021,3,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,808.0,404.0,705.0,103.0,425.67828227430164,0.0004593088198093982,9.9,promotion_specific_date,medium_promo,0.0,1.0,0.0,1.0,0.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,103.0,0.0,1,1,1
15,0,2021-10-01,443.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,10,2021,4,True,False,True,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,7223.0,3611.5,6780.0,443.0,4480.935672379152,0.004105925254310994,no_events,no_events,,0.0,0.0,0.0,0.0,0.0,9.9,11.11,4,4,30,31,891.8636363636364,6780.0,1.0,0,1,1
16,0,2021-11-01,6981.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,11,2021,4,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,10977.0,5488.5,6981.0,3996.0,2110.7137418418442,0.006239892221593767,11.11,promotion_specific_date,main_promo,0.0,1.0,1.0,0.0,0.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,3996.0,1.0,1,1,1
17,0,2021-12-01,2915.0,815517026005,TMALL,263.87750777822095,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,12,2021,4,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,3980.0,1990.0,2915.0,1065.0,1308.147545195113,0.002262437008467085,christmas,festival,small_promo,1.0,0.0,0.0,0.0,1.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,1065.0,0.0,1,0,1
18,0,2022-01-01,1358.0,815517026005,TMALL,291.728,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,1,2022,1,True,False,True,False,True,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,2143.0,1071.5,1358.0,785.0,405.1721856198917,0.0012181915852123024,no_events,no_events,,0.0,0.0,0.0,0.0,0.0,christmas,cny,4,4,31,31,891.8636363636364,785.0,0.0,0,0,0
19,0,2022-02-01,945.0,815517026005,TMALL,287.448372781065,Cream,82314748,Ultra Repair,FAB,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,12,G,2,2022,1,True,False,False,False,False,False,37378.0,1495.12,6981.0,49.0,1896.9444140511864,0.021247580528261988,1091.0,545.5,945.0,146.0,564.9783181680515,0.0006201805970446206,cny,festival,small_promo,1.0,0.0,0.0,0.0,1.0,event_this_week,event_this_week,0,0,0,0,891.8636363636364,146.0,0.0,1,0,1
