,id,ts,y,sku,customer,price,ph_level2,y_mean_sku,y_std_sku,sku_percent,y_mean_sku_month
61,2,2021-06-01,3407.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,2230.5
62,2,2021-07-01,688.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,287.6666666666667
63,2,2021-08-01,739.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,369.5
64,2,2021-09-01,2512.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,1256.0
65,2,2021-10-01,446.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,223.0
66,2,2021-11-01,3852.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,1926.0
67,2,2021-12-01,1296.0,815517026029,TMALL,119.28135590003164,Face,933.84,1018.6112964881811,0.01327106894464135,648.0
68,2,2022-01-01,1257.0,815517026029,TMALL,119.561753889675,Face,933.84,1018.6112964881811,0.01327106894464135,759.5
69,2,2022-02-01,944.0,815517026029,TMALL,153.677423494571,Face,933.84,1018.6112964881811,0.01327106894464135,682.5
70,2,2022-03-01,1237.0,815517026029,TMALL,134.875357364823,Face,933.84,1018.6112964881811,0.01327106894464135,1399.0
71,2,2022-04-01,566.0,815517026029,TMALL,147.057667638484,Face,933.84,1018.6112964881811,0.01327106894464135,835.0
72,2,2022-05-01,1011.0,815517026029,TMALL,123.661451483561,Face,933.84,1018.6112964881811,0.01327106894464135,912.5
73,2,2022-06-01,1054.0,815517026029,TMALL,114.13260802469136,Face,933.84,1018.6112964881811,0.01327106894464135,2230.5
74,2,2022-07-01,175.0,815517026029,TMALL,0.0,Face,933.84,1018.6112964881811,0.01327106894464135,287.6666666666667
75,3,2020-07-01,614.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,1409.6666666666667
76,3,2020-08-01,82647.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,43028.0
77,3,2020-09-01,7194.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,15245.0
78,3,2020-10-01,127667.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,71037.5
79,3,2020-11-01,68044.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,87985.0
80,3,2020-12-01,19815.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,22413.0
81,3,2021-01-01,18613.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,21346.5
82,3,2021-02-01,5803.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,5252.0
83,3,2021-03-01,25964.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,16807.0
84,3,2021-04-01,12484.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,7675.0
85,3,2021-05-01,5853.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,6154.5
86,3,2021-06-01,29813.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,17508.0
87,3,2021-07-01,2331.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,1409.6666666666667
88,3,2021-08-01,3409.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,43028.0
89,3,2021-09-01,23296.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,15245.0
90,3,2021-10-01,14408.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,71037.5
91,3,2021-11-01,107926.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,87985.0
92,3,2021-12-01,25011.0,815517026036,TMALL,112.94600649737087,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,22413.0
93,3,2022-01-01,24080.0,815517026036,TMALL,124.883480907582,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,21346.5
94,3,2022-02-01,4701.0,815517026036,TMALL,153.883483193277,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,5252.0
95,3,2022-03-01,7650.0,815517026036,TMALL,134.489917986743,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,16807.0
96,3,2022-04-01,2866.0,815517026036,TMALL,147.596287878788,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,7675.0
97,3,2022-05-01,6456.0,815517026036,TMALL,130.180898282695,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,6154.5
98,3,2022-06-01,5203.0,815517026036,TMALL,114.626325581395,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,17508.0
99,3,2022-07-01,1284.0,815517026036,TMALL,0.0,Ultra Repair,25325.28,34207.131565800715,0.35990484121728206,1409.6666666666667
100,4,2020-07-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,55.333333333333336
101,4,2020-08-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,23.0
102,4,2020-09-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,114.0
103,4,2020-10-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,53.0
104,4,2020-11-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,301.0
105,4,2020-12-01,0.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,140.0
106,4,2021-01-01,34.0,815517026043,TMALL,206.76662253528596,Ultra Repair,163.0,168.03695030161273,0.0023164399018852696,134.5
