,id,size,sku,sku_type,units,woy,week,main_promo,small_promo,weeks_since_last_event,weeks_to_next_event,average_train_demand,cluster
0,4,2.0,82332208,1,0,34,34,0.0,0.0,10,2,-9999.0,1
1,4,2.0,82332208,1,0,35,35,0.0,0.0,11,1,-9999.0,1
2,4,2.0,82332208,1,0,36,36,0.0,1.0,0,0,-9999.0,1
3,4,2.0,82332208,1,0,37,37,0.0,0.0,1,8,-9999.0,1
4,4,2.0,82332208,1,0,38,38,0.0,0.0,2,7,-9999.0,1
5,4,2.0,82332208,1,0,39,39,0.0,0.0,3,6,-9999.0,1
6,4,2.0,82332208,1,0,40,40,0.0,0.0,4,5,-9999.0,1
7,4,2.0,82332208,1,0,41,41,0.0,0.0,5,4,-9999.0,1
8,4,2.0,82332208,1,0,42,42,0.0,0.0,6,3,-9999.0,1
9,4,2.0,82332208,1,0,43,43,0.0,0.0,7,2,-9999.0,1
10,4,2.0,82332208,1,0,44,44,0.0,0.0,8,1,-9999.0,1
11,4,2.0,82332208,1,0,45,45,1.0,0.0,0,0,-9999.0,1
12,4,2.0,82332208,1,0,46,46,0.0,0.0,1,3,-9999.0,1
13,4,2.0,82332208,1,0,47,47,0.0,0.0,2,2,-9999.0,1
14,4,2.0,82332208,1,0,48,48,0.0,0.0,3,1,-9999.0,1
15,4,2.0,82332208,1,0,49,49,0.0,1.0,0,0,-9999.0,1
16,4,2.0,82332208,1,0,50,50,0.0,0.0,1,1,-9999.0,1
17,4,2.0,82332208,1,0,51,51,0.0,1.0,0,0,-9999.0,1
18,4,2.0,82332208,1,0,52,52,0.0,0.0,1,5,-9999.0,1
19,4,2.0,82332208,1,0,1,1,0.0,0.0,2,4,-9999.0,1
20,4,2.0,82332208,1,0,2,2,0.0,0.0,3,3,-9999.0,1
21,4,2.0,82332208,1,0,3,3,0.0,0.0,4,2,-9999.0,1
22,4,2.0,82332208,1,0,4,4,0.0,0.0,5,1,-9999.0,1
23,4,2.0,82332208,1,0,5,5,0.0,1.0,0,0,-9999.0,1
24,4,2.0,82332208,1,0,6,6,0.0,0.0,1,4,-9999.0,1
25,4,2.0,82332208,1,0,7,7,0.0,0.0,2,3,-9999.0,1
26,4,2.0,82332208,1,0,8,8,0.0,0.0,3,2,-9999.0,1
27,4,2.0,82332208,1,0,9,9,0.0,0.0,4,1,-9999.0,1
28,4,2.0,82332208,1,0,10,10,0.0,1.0,0,0,-9999.0,1
29,4,2.0,82332208,1,0,11,11,0.0,0.0,1,7,-9999.0,1
30,4,2.0,82332208,1,0,12,12,0.0,0.0,2,6,-9999.0,1
31,4,2.0,82332208,1,0,13,13,0.0,0.0,3,5,-9999.0,1
32,4,2.0,82332208,1,0,14,14,0.0,0.0,4,4,-9999.0,1
33,4,2.0,82332208,1,0,15,15,0.0,0.0,5,3,-9999.0,1
34,4,2.0,82332208,1,0,16,16,0.0,0.0,6,2,-9999.0,1
35,4,2.0,82332208,1,0,17,17,0.0,0.0,7,1,-9999.0,1
